_id,_name,_region,_time,_text
6495161289,娛娛橙子菌_,重庆,03/03/2024,去掉了这韩式滤镜，Jennie这个颜值也真的很普普通通了，不知道怎么就成了所谓的“人间香奈儿”，虽然这颜值不能说在国内一抓一大把，但真的算不上好看吧
7221812126,蹲波C位出道,重庆,03/03/2024,去掉了这韩式滤镜，Jennie这个颜值也真的很普普通通了，不知道怎么就成了所谓的“人间香奈儿”，虽然这颜值不能说在国内一抓一大把，但真的算不上好看吧
3245158082,掌上明猪养殖场,江西,03/03/2024,【aivoice】【来电】【催泪向】kimjennie来电请妮骑接听
7882211760,jenlove2018w,江苏,03/03/2024,第一张改25
7894747324,小虞的汐槐,江西,03/03/2024,#JENNIE[超话]#金珍妮#JENNIE[超话]#金珍妮#JENNIE[超话]#“满天辉映的不止星光还有你眼中的星河鹭起”
5614707613,小河甜豆,广西,03/03/2024,期待solo2啊啊啊啊啊啊啊吧
7843312703,J年年年睡不着,上海,03/03/2024,库存#JENNIE[超话]#
7843312703,J年年年睡不着,上海,03/03/2024,#JENNIE[超话]#
3201714577,PaulvanDyk_,广东,03/03/2024,jennie我老婆真的是综艺天才！！聪明脑瓜白切黑我爱死！！！
7831268878,栀妮儿二儿,浙江,03/03/2024,#JENNIE[超话]#
7186682030,yeochesa,湖北,03/03/2024,#JENNIE[超话]#好听死了仙曲！
7186682030,yeochesa,湖北,03/03/2024,好听死了仙曲
5634066021,来杯姜汁撞奶,四川,03/03/2024,做金珍妮粉丝就是幸福
7371854120,楓u-,广东,03/03/2024,#JENNIE[超话]#好伟大的一张脸
7409598238,cat饺,湖南,03/03/2024,好久都没时间关注那么多东西了，但还是会思念你，期待你新的歌曲
7836856932,yuriiiiiiiiiiiiiiwith116,上海,03/03/2024,#JENNIE[超话]#随有时装周刷推词条
7114840888,姐姐不会怪我狠毒吧,福建,03/03/2024,粉Jennie的有福了
7140358254,橙子奶油芭芭拉,陕西,03/03/2024,#JENNIE[超话]#姐妹们求这两张原图
5701269989,ShareKpop,江西,03/03/2024,Jennie出行日记📓头像壁纸🪼🦋🦋
7741466138,Tuki玫猫饼,新疆,03/03/2024,神女吟唱歌声真的很治愈期待Jennie今年的solo2～做金珍妮粉丝好幸福又是新综艺又是新歌solo2也快来了😝期待宝宝
5508654095,OA-彦叶之九噼里啪啦,辽宁,03/03/2024,呜呜呜SOLO2快来
5090053433,BLACKPINK__AREA,江苏,03/03/2024,【图片】240303ROSÉXSulwhasoo🐰JISOO个人微博🐱JENNIE个人微博🐿️ROSÉ个人微博🍐LISA个人微博
5543343215,wTing文,广东,03/03/2024,还可以
7773068091,ramibabybule_,广东,03/03/2024,大事很妙
7557626714,兜兜娱乐屋,浙江,03/03/2024,JENNIE向粉丝们表示，她很抱歉不能陪到最后，希望她能尽快康复！！！jennie
7831268878,栀妮儿二儿,浙江,03/03/2024,#JENNIE[超话]#依旧
7867924538,Cheng_3ii3,广东,03/03/2024,zz同名墨镜莎围巾莎蝴蝶妮赫敏SSR
5410650698,半杯奶茶喝不完,安徽,03/03/2024,#JENNIE[超话]#从巴黎落地没有机场图吗
6603342003,Redvivi__,浙江,03/03/2024,本来想等更新多一点再看的，忍不住了，开看
7821777388,冰糖橙mao,广东,03/03/2024,这是哪个小可爱跳的卡点舞
7250734476,OA-Jen在0116星球,江苏,03/03/2024,#JENNIE[超话]#宝宝好美
6008998151,唐俟_Moja,河北,03/03/2024,珍妮好会唱啊…
5993308592,is小狗日记,浙江,03/03/2024,真的很会写词的宝宝#JENNIE[超话]#
6008998151,唐俟_Moja,河北,03/03/2024,谁能想到是这样可爱的小宝宝唱的呢
5993308592,is小狗日记,浙江,03/03/2024,啊啊啊啊啊宝宝终于来啦大事很妙
6518300548,Zraay3,河南,03/03/2024,怎么这么好听啊小妮饱饱(˃⌑˂ഃ)
7669458012,YSDWKW,江苏,03/03/2024,又幸福了
6581866116,请叫我大铭同学,吉林,03/03/2024,借图收
7860649630,OA饺妮,云南,03/03/2024,#JENNIE[超话]#
7892028879,綁带兔-,上海,03/03/2024,真是神女吟唱ㅠㅠ
7895351215,用户7895351215,广东,03/03/2024,回复:要是她能有jennie那种舞台表现力和实力或者能成为kpop女一且也拥有jennie的咖位的话，说不定韩网也能溺爱一下呢且jennie是女粉多，她的舞台表现好就OK啦，她又不是吸梦女粉的，而且kpop圈现在的氛围已经比以前要好太多啦，柳智敏能被骂成这样也离不开64的日常发癫呀，dfxr其它女爱豆的福报罢了哈
5690794000,蒜蒜收藏夹,湖北,03/03/2024,机场小妮（Jennie
1358023322,魚太浪,湖南,03/03/2024,珍妮Jennie新歌片段：
5645454128,推倒恐龙,福建,03/03/2024,我说公寓404不能一次性放出来吗#JENNIE[超话]#
7792448005,粥颜忆颖,重庆,03/03/2024,出无暇可看对光
6076795913,银河满载星辰,广东,03/03/2024,好听好听，又幸福了☺️
5638317973,Hoo_pe,广东,03/03/2024,jennie拍摄
5669087920,OA-金珍爱吃梨,安徽,03/03/2024,
7780955630,bonnierilita,海南,03/03/2024,安抚了我在家狂躁的情绪
6192979855,oooosily,重庆,03/03/2024,太好听了，不敢想象JN2出来有多爽
7008301632,普绪克没有眼泪,江苏,03/03/2024,为什么要跟风尝Jennie同款好酸好酸不适合我这种甜口星人
7790896774,KIKU_霁妤,山东,03/03/2024,期待住了
5719815730,圈神探,广西,03/03/2024,心灵都被净化了🥺🥺好期待Jennie的Solo2
3962010419,血橙今天发歌了吗,广西,03/03/2024,知道Jennie和马特冠军玩的好，但是你们俩怎么一起发歌了。。补药啊
7865363048,夏小枚a,广东,03/03/2024,这段差点成就名场面
7797397570,-BlueBlue0906,安徽,03/03/2024,看了404综艺，Jennie好聪明啊！！
6801220423,幸運咻狗,广东,03/03/2024,好爱年年😭//:每次在我专注自己生活的时候忙的不行闲暇时间打开手机Jennie就会给我带来惊喜真的很幸福你不是我的爱豆更像是我的朋友啊
7616971820,圆气收藏所,四川,03/03/2024,天哪欧尼我好幸福
7790274320,Jennierubyjane_Mark,陕西,03/03/2024,#JENNIE[超话]#求一些自拍视频
7407516568,人间清醒花花子,广东,03/03/2024,blackpink当中Lisa格局最高，Jennie挨骂也越赚钱，伤官见官，Jennie一路喜用神运，大运走得最好，异性缘非常旺，26年有真命天子，对方是同行。Lisa的八字财气比其他三人强很多，Jisoo格局也好，但大运是四人中续航一般，她后期事业心不强，rose格局比其他三人差一点，但大运不错
7065414011,Nebulochaoticc,四川,03/03/2024,太太太喜欢Jennie了
7264512797,甜甜的贝肯尼,安徽,03/03/2024,好听喜欢快发
7769000537,OA-年年许之,四川,03/03/2024,神女吟唱姐姐的歌声永远会治愈人
5724607744,Demie-彭,广东,03/03/2024,#JENNIE[超话]#刚刚看完了公寓404第二期，呜呜呜呜，我宝宝真的好可爱好聪明好机智，哈哈哈哈，首尔机灵鬼，不，我是盆塘的，哈哈哈哈哈
6118356213,放糖香菇菇,四川,03/03/2024,恭迎JNK1
6623730122,全圆蚊子佑,湖南,03/03/2024,35🍞礼物多多可走zz#JENNIE[超话]#
6205414526,Nxx_Lee,北京,03/03/2024,期待妈妈我爱你
7732578507,小琦小琦你在吗,山东,03/03/2024,快出新歌吧宝宝😭好听的想流眼泪好想你啊宝宝😭
6526865694,shichuuuuu,四川,03/03/2024,我活过来了
7250080428,我的金宝宝116,广西,03/03/2024,#JENNIE[超话]#呜呜呜呜这个身材！！！
6334052956,七公里银河,陕西,03/03/2024,
7895351215,用户7895351215,广东,03/03/2024,有没有人专门研究过jennie的机场穿搭的啊，这个女人是真的好会搭衣服啊，每次机场都能穿得既时尚又舒适的样子，她的风格真的是南韩独一份的美哇松弛感真的是太绝了，她是真的超适合开创自己的服装品牌哇
6323879913,白敬亭圈外女友hhhh,江苏,03/03/2024,快出
5504982759,偷着乐国公民,广东,03/03/2024,我的尸体回温了….感觉我是靠听金珍妮的歌活下来的
7279193187,悲伤煎鱼,河南,03/03/2024,我投给了“Jennie”~
7843992596,爱吃泡芙的peach,湖北,03/03/2024,#JENNIE[超话]#正规一am特典妮无闪圆角现在什么价
6614859773,早睡的小西子有糖吃,广东,03/03/2024,爱上妮妮姐轻轻松松
5674689581,J-niniAniya,中国香港,03/03/2024,哭了😭…太好听辽…2024是Jennie年！！！
6020890520,摘颗幸运星-,湖北,03/03/2024,哈哈哈哈哈//:打的🚖的时候要强调是Jennie来的电话（和司机炫耀）哈哈哈哈哈哈哈哈哈哈哈哈哈
6434561132,小狗魔法口袋,安徽,03/03/2024,这姐怎么能每首新歌都正好在我心巴上…
6190125349,蓝莓芝士欧包,广东,03/03/2024,#JENNIE[超话]#求这组ins图真的找不到
7778522553,陈皮丹丹丹,安徽,03/03/2024,老婆……我不想接客了，同行嫉妒我，抢衣服和小费，还砸我手机，删我给你发的短信，骂我臭不要脸死小三，妈妈桑天天拿紫色心情抽我，骂我不好好接客还对你留有感情，客人都骂我吃着碗里的看着锅里的，老婆……我真的想你了，我不想再站街了，你养我吧
5836530154,运气喵喵屋,江苏,03/03/2024,收收好看的小卡周边，要贵妇包装，130以内送朋友
5699094470,韩流全攻略,新加坡,03/03/2024,JENNIE新歌片段试听
5983030511,无聊11503,吉林,03/03/2024,期待
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#SOLO10亿啦啦啦啦
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#
7487438245,骑墙派呵呵哒老师呀,湖北,03/03/2024,
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#宝宝SOLO破10亿啦
7641824836,呼呼Rob,重庆,03/03/2024,#JENNIE[超话]#宝宝SOLO破10亿啦
3855819978,南韩疯爽,广东,03/03/2024,穿这么简单却这么好看…我看到Jennie出场第一秒就有了我也要这么穿的想法
2024959250,橙子弥味,广东,03/03/2024,G-DRAGON/JENNIE《Black》（）🤗🤗🤗日常日推，妈的想到以往，真是老了会忆当年。
5638317973,Hoo_pe,广东,03/03/2024,jennie机场穿搭
7401570633,玫驴,江西,03/03/2024,伟大的
5968351772,诶这是一只熊,广东,03/03/2024,又幸福了
6112929387,去快乐星球种小熊饼干,广东,03/03/2024,要哭了快快回归
7511637947,麦麦梨,福建,03/03/2024,太好听了太好听了太好听了太好听了全体起立！期待金珍妮正规个人专JNK1
6928065730,OA-要吃饺子mandu,陕西,03/03/2024,我狠狠吻了
6399088808,Notingtosay_,湖南,03/03/2024,哈哈哈哈哈哈哈让我蹭了个大的我前两天还在找jennie的头像哈哈哈哈哈
6101001023,妆容改造师Aria,Unknown,03/03/2024,对于我来说，胎毛刘海只适合幼态脸，比如张元英和Jennie鞠婧祎这种，超级自然。如果是为了降低发际线，我还是会选择去植发，非细软发质剪胎毛会炸掉，就像幂这样
7796912149,听说你不混韩娱,山东,03/03/2024,#JENNIE[超话]#为你绽放
6974134898,Woainini_J,江苏,03/03/2024,诚邀大家来品一品Jennie的绝美生图
