_id,_name,_region,_time,_text,_followers,_reposts,_comments,_likes
5186574884,对你我天真了,辽宁,01/09/2024,｜ 新鲜头哥 真是应了那句话 每天睁眼闭眼就是刷 根本出不来呀,12.1万,93,137,3077
5248334940,一只奶拽奶拽的头头鹅,广西,02/09/2024,王楚钦be like：,12.7万,0,1,75
7395713087,体坛小猪君,山西,01/09/2024,你乒粉丝这么搞，让正主无法做人啊大家美美合照，开开心心拍Vlog不好吗？你们这样搞谁敢找你乒要合照，拍视频啊。。。艺术体操奥运会的王澜静和丁欣怡因为和马龙王楚钦合影以及互动，被王的CP粉骂到清空了账号……,39万,6,21,97
3083675764,体坛星闻社,北京,01/09/2024,合照来啦！乒乓球混双冠军：孙颖莎/王楚钦羽毛球混双冠军：郑思维/黄雅琼,130万,62,35,3170
6562077482,幼儿园头学研究者,江苏,02/09/2024,哈哈哈哈，我宝被强行喂月饼了,3616,0,4,188
3040182201,荒烟蔓草的从前,陕西,01/09/2024,有一说一，王楚钦运气确实不好。樊振东32强对手是黄镇廷，王楚钦32强对手是莫雷高德。欧洲第一人的莫雷高德实力完爆省队30+老将黄镇廷，王楚钦可惜了！,35.7万,3,230,3580
6174509848,澳門日報,Unknown,02/09/2024,国家奥运健儿代表团多名运动员今日上午10时到访街总石排湾社区服务中心，多名街总负责人及会员、长者在场迎接，欢迎一行人。代表团约20名成员到访中心，包括国家体育总局科教司司长陈志宇，乒乓球混双冠军孙颖莎、王楚钦，羽毛球混双冠军郑思维、王雅琼等。运动员进入中心前与在场居民、传媒打招呼。他们分成两批，与在场长者及人士一同制作中秋月饼、玩游戏、合照、签名留念，互动气氛活跃欢乐。,13.8万,10,4,164
5186574884,对你我天真了,辽宁,01/09/2024,｜ 新鲜头哥 真是应了那句话 每天睁眼闭眼就是刷 根本出不来呀,12.1万,93,137,3079
5248334940,一只奶拽奶拽的头头鹅,广西,02/09/2024,王楚钦be like：,12.7万,0,1,75
7395713087,体坛小猪君,山西,01/09/2024,你乒粉丝这么搞，让正主无法做人啊大家美美合照，开开心心拍Vlog不好吗？你们这样搞谁敢找你乒要合照，拍视频啊。。。艺术体操奥运会的王澜静和丁欣怡因为和马龙王楚钦合影以及互动，被王的CP粉骂到清空了账号……,39万,6,21,97
